Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"January 1, 2026 - March 20, 2026"
Statement,Data,WhenGenerated,"2026-03-21, 07:18:22 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,488092.3059
Summary,Data,Ending Cash,488092.3059
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2026-03-10,DUO116877,CC JUN26 3300 C,Sell,COM6 C3300,-15.0,300.0,USD,45000.0,-44.55,44955.45
Transaction History,Data,2026-03-10,DUO116877,TFM APR26,Sell,TFMJ6,-5.0,47.22,EUR,197360.712(1),-29.025000000000002,-752.0957999999999
Transaction History,Data,2026-03-10,DUO116877,System Transfer from DUO116877,Deposit,-,-,-,-,151963.47,-,151963.47
Transaction History,Data,2026-03-10,DUO116877,System Transfer to DUO116877C,Withdrawal,-,-,-,-,-151963.47,-,-151963.47
Transaction History,Data,2026-03-09,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-2250.0,-,-2250.0
Transaction History,Data,2026-03-09,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,6434.415,-,6434.415
Transaction History,Data,2026-03-06,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,10750.0,-,10750.0
Transaction History,Data,2026-03-06,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,4941.69,-,4941.69
Transaction History,Data,2026-03-05,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,4875.0,-,4875.0
Transaction History,Data,2026-03-05,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,792.53125,-,792.53125
Transaction History,Data,2026-03-04,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-500.0,-,-500.0
Transaction History,Data,2026-03-04,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-285.42375,-,-285.42375
Transaction History,Data,2026-03-04,DUO116877,USD Credit Interest for Feb-2026,Credit Interest,-,-,-,-,1354.66,-,1354.66
Transaction History,Data,2026-03-03,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,3250.0,-,3250.0
Transaction History,Data,2026-03-03,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,1013.68,-,1013.68
Transaction History,Data,2026-03-02,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-3375.0,-,-3375.0
Transaction History,Data,2026-03-02,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,3246.7875,-,3246.7875
Transaction History,Data,2026-03-02,DUO116877,GC MAY26 5400 C,Buy,OGK6 C5400,10.0,275.0,USD,-275000.0,-25.2,-275025.2
Transaction History,Data,2026-03-02,DUO116877,NG APR26 3.2 P,Sell,LNEJ6 P3200,-10.0,0.372,USD,37200.0,-23.7,37176.3
Transaction History,Data,2026-03-02,DUO116877,GC MAY26 5255 C,Buy,OGK6 C5255,4.0,323.5,USD,-129400.0,-10.08,-129410.08
Transaction History,Data,2026-02-27,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,3625.0,-,3625.0
Transaction History,Data,2026-02-27,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,1092.25,-,1092.25
Transaction History,Data,2026-02-27,DUO116877,CC JUN26 4000 C,Buy,COM6 C4000,1.0,20.0,USD,-200.0,-2.97,-202.97
Transaction History,Data,2026-02-26,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,-750.0,-,-750.0
Transaction History,Data,2026-02-26,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-1608.9375,-,-1608.9375
Transaction History,Data,2026-02-25,DUO116877,ZS 14MAY26 Position MTM,Position MTM,ZSK6,-,-,-,4875.0,-,4875.0
Transaction History,Data,2026-02-25,DUO116877,FCPO.MY 15APR26 Position MTM,Position MTM,FCPOJ6,-,-,-,-64.25,-,-64.25
